,state_id,Title,Total,Partial vaccinated,Fully Vaccinated,Date
43,7,Chhattisgarh,600054,455510,144544,2021-03-09 18:01:28
44,8,Dadra and Nagar Haveli,7329,5965,1364,2021-03-09 18:01:28
45,9,Delhi,479756,395059,84697,2021-03-09 18:01:28
46,10,Goa,43934,36021,7913,2021-03-09 18:01:28
47,11,Gujarat,1708482,1302425,406057,2021-03-09 18:01:28
48,12,Haryana,317555,229730,87825,2021-03-09 18:01:28
49,13,Himachal Pradesh,144569,93447,51122,2021-03-09 18:01:28
50,14,Jammu and Kashmir,333953,296863,37090,2021-03-09 18:01:28
51,15,Jharkhand,401760,313492,88268,2021-03-09 18:01:28
52,16,Karnataka,788237,511188,277049,2021-03-09 18:01:28
53,17,Kerala,917287,689421,227866,2021-03-09 18:01:28
54,18,Ladakh,19663,17371,2292,2021-03-09 18:01:28
55,19,Lakshadweep,1667,1452,215,2021-03-09 18:01:28
56,20,Madhya Pradesh,894170,648490,245680,2021-03-09 18:01:28
57,21,Maharashtra,1568662,1263337,305325,2021-03-09 18:01:28
58,22,Manipur,66537,60426,6111,2021-03-09 18:01:28
59,23,Meghalaya,52453,45314,7139,2021-03-09 18:01:28
60,24,Mizoram,37650,28292,9358,2021-03-09 18:01:28
61,25,Nagaland,35005,28779,6226,2021-03-09 18:01:28
62,26,Odisha,705701,493150,212551,2021-03-09 18:01:28
63,27,Puducherry,17897,15136,2761,2021-03-09 18:01:28
64,28,Punjab,246481,193506,52975,2021-03-09 18:01:28
65,29,Rajasthan,1958224,1603029,355195,2021-03-09 18:01:28
66,30,Sikkim,30526,24586,5940,2021-03-09 18:01:28
67,31,Tamil Nadu,732460,650520,81940,2021-03-09 18:01:28
68,32,Telangana,424230,241322,182908,2021-03-09 18:01:28
69,33,Tripura,123820,87219,36601,2021-03-09 18:01:28
70,34,Uttar Pradesh,1707149,1168813,538336,2021-03-09 18:01:28
71,35,Uttarakhand,228213,160878,67335,2021-03-09 18:01:28
72,36,West Bengal,1581634,1298432,283202,2021-03-09 18:01:28
73,37,Daman and Diu,5249,4347,902,2021-03-09 18:01:28
74,1,Andaman and Nicobar Islands,10161,7735,2426,2021-03-10 17:30:10
75,2,Andhra Pradesh,779747,560697,219050,2021-03-10 17:30:10
76,3,Arunachal Pradesh,41675,30769,10906,2021-03-10 17:30:10
77,4,Assam,440893,368754,72139,2021-03-10 17:30:10
78,5,Bihar,944409,694637,249772,2021-03-10 17:30:10
79,6,Chandigarh,35167,30560,4607,2021-03-10 17:30:10
80,7,Chhattisgarh,648553,489129,159424,2021-03-10 17:30:10
81,8,Dadra and Nagar Haveli,7777,6136,1641,2021-03-10 17:30:10
82,9,Delhi,498456,405286,93170,2021-03-10 17:30:10
83,10,Goa,47240,38480,8760,2021-03-10 17:30:10
84,11,Gujarat,1762840,1332129,430711,2021-03-10 17:30:10
85,12,Haryana,330710,239057,91653,2021-03-10 17:30:10
86,13,Himachal Pradesh,155805,101307,54498,2021-03-10 17:30:10
87,14,Jammu and Kashmir,336587,299203,37384,2021-03-10 17:30:10
88,15,Jharkhand,432167,328055,104112,2021-03-10 17:30:10
89,16,Karnataka,877753,580495,297258,2021-03-10 17:30:10
90,17,Kerala,954553,714209,240344,2021-03-10 17:30:10
91,18,Ladakh,22917,20419,2498,2021-03-10 17:30:10
92,19,Lakshadweep,1854,1535,319,2021-03-10 17:30:10
93,20,Madhya Pradesh,979908,703594,276314,2021-03-10 17:30:10
94,21,Maharashtra,1737955,1400984,336971,2021-03-10 17:30:10
95,22,Manipur,68967,61597,7370,2021-03-10 17:30:10
96,23,Meghalaya,54947,46973,7974,2021-03-10 17:30:10
97,24,Mizoram,41886,32113,9773,2021-03-10 17:30:10
98,25,Nagaland,37176,30252,6924,2021-03-10 17:30:10
99,26,Odisha,750609,521805,228804,2021-03-10 17:30:10
100,27,Puducherry,19605,16600,3005,2021-03-10 17:30:10
101,28,Punjab,262926,206746,56180,2021-03-10 17:30:10
102,29,Rajasthan,2078824,1682824,396000,2021-03-10 17:30:10
103,30,Sikkim,33728,27219,6509,2021-03-10 17:30:10
104,31,Tamil Nadu,819060,728406,90654,2021-03-10 17:30:10
105,32,Telangana,447681,256004,191677,2021-03-10 17:30:10
106,33,Tripura,125805,87999,37806,2021-03-10 17:30:10
107,34,Uttar Pradesh,1733341,1194063,539278,2021-03-10 17:30:10
108,35,Uttarakhand,240331,168955,71376,2021-03-10 17:30:10
109,36,West Bengal,1721128,1417046,304082,2021-03-10 17:30:10
110,37,Daman and Diu,5892,4887,1005,2021-03-10 17:30:10
111,1,Andaman and Nicobar Islands,10704,8218,2486,2021-03-11 18:02:11
112,2,Andhra Pradesh,789145,568487,220658,2021-03-11 18:02:11
113,3,Arunachal Pradesh,44468,32906,11562,2021-03-11 18:02:11
114,4,Assam,460926,384883,76043,2021-03-11 18:02:11
115,5,Bihar,951238,700136,251102,2021-03-11 18:02:11
116,6,Chandigarh,35985,31291,4694,2021-03-11 18:02:11
117,7,Chhattisgarh,654257,493314,160943,2021-03-11 18:02:11
118,8,Dadra and Nagar Haveli,7777,6136,1641,2021-03-11 18:02:11
119,9,Delhi,516393,415311,101082,2021-03-11 18:02:11
120,10,Goa,50241,40416,9825,2021-03-11 18:02:11
121,11,Gujarat,1776794,1341506,435288,2021-03-11 18:02:11
122,12,Haryana,339664,245903,93761,2021-03-11 18:02:11
123,13,Himachal Pradesh,157123,102129,54994,2021-03-11 18:02:11
124,14,Jammu and Kashmir,337754,300043,37711,2021-03-11 18:02:11
125,15,Jharkhand,447790,337027,110763,2021-03-11 18:02:11
126,16,Karnataka,895311,593671,301640,2021-03-11 18:02:11
127,17,Kerala,991390,741593,249797,2021-03-11 18:02:11
128,18,Ladakh,25981,23271,2710,2021-03-11 18:02:11
129,19,Lakshadweep,2056,1589,467,2021-03-11 18:02:11
130,20,Madhya Pradesh,983629,704997,278632,2021-03-11 18:02:11
131,21,Maharashtra,1804040,1455318,348722,2021-03-11 18:02:11
132,22,Manipur,70643,62455,8188,2021-03-11 18:02:11
133,23,Meghalaya,58153,49019,9134,2021-03-11 18:02:11
134,24,Mizoram,43830,33883,9947,2021-03-11 18:02:11
135,25,Nagaland,39893,31808,8085,2021-03-11 18:02:11
136,26,Odisha,758859,527341,231518,2021-03-11 18:02:11
137,27,Puducherry,21232,18039,3193,2021-03-11 18:02:11
138,28,Punjab,269417,212562,56855,2021-03-11 18:02:11
139,29,Rajasthan,2089766,1689250,400516,2021-03-11 18:02:11
140,30,Sikkim,37745,30440,7305,2021-03-11 18:02:11
141,31,Tamil Nadu,896925,797555,99370,2021-03-11 18:02:11
142,32,Telangana,451030,258992,192038,2021-03-11 18:02:11
143,33,Tripura,127690,88696,38994,2021-03-11 18:02:11
144,34,Uttar Pradesh,1741241,1201576,539665,2021-03-11 18:02:11
145,35,Uttarakhand,242959,170793,72166,2021-03-11 18:02:11
146,36,West Bengal,1799367,1483726,315641,2021-03-11 18:02:11
147,37,Daman and Diu,5892,4887,1005,2021-03-11 18:02:11
148,1,Andaman and Nicobar Islands,11321,8735,2586,2021-03-12 18:01:04
149,2,Andhra Pradesh,836713,605519,231194,2021-03-12 18:01:04
150,3,Arunachal Pradesh,46763,34659,12104,2021-03-12 18:01:04
151,4,Assam,480215,399574,80641,2021-03-12 18:01:04
152,5,Bihar,1035324,766055,269269,2021-03-12 18:01:04
153,6,Chandigarh,38246,33091,5155,2021-03-12 18:01:04
154,7,Chhattisgarh,699746,523516,176230,2021-03-12 18:01:04
155,8,Dadra and Nagar Haveli,8481,6511,1970,2021-03-12 18:01:04
156,9,Delhi,535790,425063,110727,2021-03-12 18:01:04
157,10,Goa,55578,44297,11281,2021-03-12 18:01:04
158,11,Gujarat,1939543,1459292,480251,2021-03-12 18:01:04
159,12,Haryana,374228,273843,100385,2021-03-12 18:01:04
160,13,Himachal Pradesh,174855,113763,61092,2021-03-12 18:01:04
161,14,Jammu and Kashmir,340719,300849,39870,2021-03-12 18:01:04
162,15,Jharkhand,478240,353250,124990,2021-03-12 18:01:04
163,16,Karnataka,995796,677816,317980,2021-03-12 18:01:04
164,17,Kerala,1073841,804825,269016,2021-03-12 18:01:04
165,18,Ladakh,28496,25696,2800,2021-03-12 18:01:04
166,19,Lakshadweep,2275,1605,670,2021-03-12 18:01:04
167,20,Madhya Pradesh,988814,708706,280108,2021-03-12 18:01:04
168,21,Maharashtra,1991425,1608619,382806,2021-03-12 18:01:04
169,22,Manipur,73372,63713,9659,2021-03-12 18:01:04
170,23,Meghalaya,60267,50138,10129,2021-03-12 18:01:04
171,24,Mizoram,45491,35460,10031,2021-03-12 18:01:04
172,25,Nagaland,40999,32272,8727,2021-03-12 18:01:04
173,26,Odisha,822415,568356,254059,2021-03-12 18:01:04
174,27,Puducherry,22707,19243,3464,2021-03-12 18:01:04
175,28,Punjab,289493,228262,61231,2021-03-12 18:01:04
176,29,Rajasthan,2252698,1824080,428618,2021-03-12 18:01:04
177,30,Sikkim,40751,33168,7583,2021-03-12 18:01:04
178,31,Tamil Nadu,986482,877535,108947,2021-03-12 18:01:04
179,32,Telangana,479057,274591,204466,2021-03-12 18:01:04
180,33,Tripura,137876,93086,44790,2021-03-12 18:01:04
181,34,Uttar Pradesh,1991674,1391469,600205,2021-03-12 18:01:04
182,35,Uttarakhand,266217,185891,80326,2021-03-12 18:01:04
183,36,West Bengal,1968917,1627473,341444,2021-03-12 18:01:04
184,37,Daman and Diu,6291,5237,1054,2021-03-12 18:01:04
185,1,Andaman and Nicobar Islands,11638,8899,2739,2021-03-13 18:01:15
186,2,Andhra Pradesh,880781,643558,237223,2021-03-13 18:01:15
187,3,Arunachal Pradesh,48082,35535,12547,2021-03-13 18:01:15
188,4,Assam,496585,412415,84170,2021-03-13 18:01:15
189,5,Bihar,1151988,861293,290695,2021-03-13 18:01:15
190,6,Chandigarh,40476,34812,5664,2021-03-13 18:01:15
191,7,Chhattisgarh,753546,562201,191345,2021-03-13 18:01:15
192,8,Dadra and Nagar Haveli,8867,6723,2144,2021-03-13 18:01:15
193,9,Delhi,559943,438473,121470,2021-03-13 18:01:15
194,10,Goa,59300,47633,11667,2021-03-13 18:01:15
195,11,Gujarat,2067458,1556573,510885,2021-03-13 18:01:15
196,12,Haryana,390612,287782,102830,2021-03-13 18:01:15
197,13,Himachal Pradesh,181638,118426,63212,2021-03-13 18:01:15
198,14,Jammu and Kashmir,376795,322087,54708,2021-03-13 18:01:15
199,15,Jharkhand,506091,368465,137626,2021-03-13 18:01:15
200,16,Karnataka,1048310,722840,325470,2021-03-13 18:01:15
201,17,Kerala,1122882,842896,279986,2021-03-13 18:01:15
202,18,Ladakh,30962,28070,2892,2021-03-13 18:01:15
203,19,Lakshadweep,2510,1657,853,2021-03-13 18:01:15
204,20,Madhya Pradesh,1128200,795662,332538,2021-03-13 18:01:15
205,21,Maharashtra,2123060,1711588,411472,2021-03-13 18:01:15
206,22,Manipur,74264,64162,10102,2021-03-13 18:01:15
207,23,Meghalaya,61873,50922,10951,2021-03-13 18:01:15
208,24,Mizoram,45897,35797,10100,2021-03-13 18:01:15
209,25,Nagaland,41434,32391,9043,2021-03-13 18:01:15
210,26,Odisha,878668,610148,268520,2021-03-13 18:01:15
211,27,Puducherry,24482,20721,3761,2021-03-13 18:01:15
212,28,Punjab,308163,243504,64659,2021-03-13 18:01:15
213,29,Rajasthan,2438590,1994521,444069,2021-03-13 18:01:15
214,30,Sikkim,41234,33649,7585,2021-03-13 18:01:15
215,31,Tamil Nadu,1082917,963536,119381,2021-03-13 18:01:15
216,32,Telangana,495638,287950,207688,2021-03-13 18:01:15
217,33,Tripura,143379,96147,47232,2021-03-13 18:01:15
218,34,Uttar Pradesh,2077983,1457700,620283,2021-03-13 18:01:15
219,35,Uttarakhand,283584,198074,85510,2021-03-13 18:01:15
220,36,West Bengal,2101575,1739613,361962,2021-03-13 18:01:15
221,37,Daman and Diu,6724,5618,1106,2021-03-13 18:01:15
222,1,Andaman and Nicobar Islands,11693,8926,2767,2021-03-14 18:00:43
223,2,Andhra Pradesh,881921,644610,237311,2021-03-14 18:00:43
224,3,Arunachal Pradesh,48215,35654,12561,2021-03-14 18:00:43
225,4,Assam,497722,413455,84267,2021-03-14 18:00:43
226,5,Bihar,1159608,867885,291723,2021-03-14 18:00:43
227,6,Chandigarh,40701,34965,5736,2021-03-14 18:00:43
228,7,Chhattisgarh,763377,571298,192079,2021-03-14 18:00:43
229,8,Dadra and Nagar Haveli,8871,6727,2144,2021-03-14 18:00:43
230,9,Delhi,560392,438862,121530,2021-03-14 18:00:43
231,10,Goa,59323,47655,11668,2021-03-14 18:00:43
232,11,Gujarat,2083770,1568691,515079,2021-03-14 18:00:43
233,12,Haryana,395200,292010,103190,2021-03-14 18:00:43
234,13,Himachal Pradesh,183330,119938,63392,2021-03-14 18:00:43
235,14,Jammu and Kashmir,379043,323902,55141,2021-03-14 18:00:43
236,15,Jharkhand,524193,380103,144090,2021-03-14 18:00:43
237,16,Karnataka,1067414,740906,326508,2021-03-14 18:00:43
238,17,Kerala,1127842,846849,280993,2021-03-14 18:00:43
239,18,Ladakh,31958,29060,2898,2021-03-14 18:00:43
240,19,Lakshadweep,2541,1659,882,2021-03-14 18:00:43
241,20,Madhya Pradesh,1149691,814751,334940,2021-03-14 18:00:43
242,21,Maharashtra,2132547,1720471,412076,2021-03-14 18:00:43
243,22,Manipur,74287,64185,10102,2021-03-14 18:00:43
244,23,Meghalaya,61893,50935,10958,2021-03-14 18:00:43
245,24,Mizoram,46297,36127,10170,2021-03-14 18:00:43
246,25,Nagaland,41574,32404,9170,2021-03-14 18:00:43
247,26,Odisha,890002,620613,269389,2021-03-14 18:00:43
248,27,Puducherry,24531,20768,3763,2021-03-14 18:00:43
249,28,Punjab,310829,246071,64758,2021-03-14 18:00:43
250,29,Rajasthan,2456146,2011573,444573,2021-03-14 18:00:43
251,30,Sikkim,41351,33766,7585,2021-03-14 18:00:43
252,31,Tamil Nadu,1108075,986954,121121,2021-03-14 18:00:43
253,32,Telangana,498000,290166,207834,2021-03-14 18:00:43
254,33,Tripura,143677,96435,47242,2021-03-14 18:00:43
255,34,Uttar Pradesh,2092937,1472200,620737,2021-03-14 18:00:43
256,35,Uttarakhand,286089,199775,86314,2021-03-14 18:00:43
257,36,West Bengal,2117785,1753725,364060,2021-03-14 18:00:43
258,37,Daman and Diu,6724,5618,1106,2021-03-14 18:00:43
259,1,Andaman and Nicobar Islands,12045,9202,2843,2021-03-15 18:00:55
260,2,Andhra Pradesh,955244,708375,246869,2021-03-15 18:00:55
261,3,Arunachal Pradesh,51377,38084,13293,2021-03-15 18:00:55
262,4,Assam,517735,429304,88431,2021-03-15 18:00:55
263,5,Bihar,1234562,924776,309786,2021-03-15 18:00:55
264,6,Chandigarh,43207,36835,6372,2021-03-15 18:00:55
265,7,Chhattisgarh,831027,623226,207801,2021-03-15 18:00:55
266,8,Dadra and Nagar Haveli,9299,6954,2345,2021-03-15 18:00:55
267,9,Delhi,585649,453532,132117,2021-03-15 18:00:55
268,10,Goa,64629,52380,12249,2021-03-15 18:00:55
269,11,Gujarat,2220349,1681129,539220,2021-03-15 18:00:55
270,12,Haryana,486747,374842,111905,2021-03-15 18:00:55
271,13,Himachal Pradesh,194262,128028,66234,2021-03-15 18:00:55
272,14,Jammu and Kashmir,414348,346144,68204,2021-03-15 18:00:55
273,15,Jharkhand,563156,404892,158264,2021-03-15 18:00:55
274,16,Karnataka,1229513,889932,339581,2021-03-15 18:00:55
275,17,Kerala,1209759,913278,296481,2021-03-15 18:00:55
276,18,Ladakh,33327,30423,2904,2021-03-15 18:00:55
277,19,Lakshadweep,2717,1727,990,2021-03-15 18:00:55
278,20,Madhya Pradesh,1300173,926343,373830,2021-03-15 18:00:55
279,21,Maharashtra,2333006,1889438,443568,2021-03-15 18:00:55
280,22,Manipur,77264,65326,11938,2021-03-15 18:00:55
281,23,Meghalaya,64380,52194,12186,2021-03-15 18:00:55
282,24,Mizoram,47444,36933,10511,2021-03-15 18:00:55
283,25,Nagaland,44454,33851,10603,2021-03-15 18:00:55
284,26,Odisha,968576,682170,286406,2021-03-15 18:00:55
285,27,Puducherry,26694,22703,3991,2021-03-15 18:00:55
286,28,Punjab,334507,265778,68729,2021-03-15 18:00:55
287,29,Rajasthan,2620263,2162427,457836,2021-03-15 18:00:55
288,30,Sikkim,43571,35709,7862,2021-03-15 18:00:55
289,31,Tamil Nadu,1203072,1073648,129424,2021-03-15 18:00:55
290,32,Telangana,527695,315493,212202,2021-03-15 18:00:55
291,33,Tripura,157519,104232,53287,2021-03-15 18:00:55
292,34,Uttar Pradesh,2379960,1715158,664802,2021-03-15 18:00:55
293,35,Uttarakhand,310735,218339,92396,2021-03-15 18:00:55
294,36,West Bengal,2314641,1920977,393664,2021-03-15 18:00:55
295,37,Daman and Diu,7249,6058,1191,2021-03-15 18:00:55
296,1,Andaman and Nicobar Islands,12374,9497,2877,2021-03-16 18:00:46
297,2,Andhra Pradesh,1023938,766142,257796,2021-03-16 18:00:46
298,3,Arunachal Pradesh,53255,39505,13750,2021-03-16 18:00:46
299,4,Assam,536333,444319,92014,2021-03-16 18:00:46
300,5,Bihar,1310157,986340,323817,2021-03-16 18:00:46
301,6,Chandigarh,45287,38340,6947,2021-03-16 18:00:46
302,7,Chhattisgarh,901214,680006,221208,2021-03-16 18:00:46
303,8,Dadra and Nagar Haveli,9575,7158,2417,2021-03-16 18:00:46
304,9,Delhi,610943,467441,143502,2021-03-16 18:00:46
305,10,Goa,70030,57391,12639,2021-03-16 18:00:46
306,11,Gujarat,2366359,1803506,562853,2021-03-16 18:00:46
307,12,Haryana,588119,470419,117700,2021-03-16 18:00:46
308,13,Himachal Pradesh,219841,149612,70229,2021-03-16 18:00:46
309,14,Jammu and Kashmir,450517,369385,81132,2021-03-16 18:00:46
310,15,Jharkhand,601972,431847,170125,2021-03-16 18:00:46
311,16,Karnataka,1341902,991410,350492,2021-03-16 18:00:46
312,17,Kerala,1294853,982902,311951,2021-03-16 18:00:46
313,18,Ladakh,35797,32446,3351,2021-03-16 18:00:46
314,19,Lakshadweep,2911,1803,1108,2021-03-16 18:00:46
315,20,Madhya Pradesh,1324453,947052,377401,2021-03-16 18:00:46
316,21,Maharashtra,2475988,2007670,468318,2021-03-16 18:00:46
317,22,Manipur,79103,65946,13157,2021-03-16 18:00:46
318,23,Meghalaya,68323,54180,14143,2021-03-16 18:00:46
319,24,Mizoram,50041,39413,10628,2021-03-16 18:00:46
320,25,Nagaland,47216,35254,11962,2021-03-16 18:00:46
321,26,Odisha,1076245,779021,297224,2021-03-16 18:00:46
322,27,Puducherry,28665,24439,4226,2021-03-16 18:00:46
323,28,Punjab,360276,287786,72490,2021-03-16 18:00:46
324,29,Rajasthan,2833229,2362643,470586,2021-03-16 18:00:46
325,30,Sikkim,46156,38019,8137,2021-03-16 18:00:46
326,31,Tamil Nadu,1308601,1168041,140560,2021-03-16 18:00:46
327,32,Telangana,549049,334375,214674,2021-03-16 18:00:46
328,33,Tripura,176658,119449,57209,2021-03-16 18:00:46
329,34,Uttar Pradesh,2577411,1852265,725146,2021-03-16 18:00:46
330,35,Uttarakhand,336779,238560,98219,2021-03-16 18:00:46
331,36,West Bengal,2539532,2121890,417642,2021-03-16 18:00:46
332,37,Daman and Diu,7789,6537,1252,2021-03-16 18:00:46
333,1,Andaman and Nicobar Islands,12570,9590,2980,2021-03-17 18:01:03
334,2,Andhra Pradesh,1117925,849594,268331,2021-03-17 18:01:03
335,3,Arunachal Pradesh,50118,36326,13792,2021-03-17 18:01:03
336,4,Assam,521999,427974,94025,2021-03-17 18:01:03
337,5,Bihar,1305893,972143,333750,2021-03-17 18:01:03
338,6,Chandigarh,50173,42764,7409,2021-03-17 18:01:03
339,7,Chhattisgarh,921635,687435,234200,2021-03-17 18:01:03
340,8,Dadra and Nagar Haveli,8830,6327,2503,2021-03-17 18:01:03
341,9,Delhi,737305,584370,152935,2021-03-17 18:01:03
342,10,Goa,72593,59519,13074,2021-03-17 18:01:03
343,11,Gujarat,2353930,1780056,573874,2021-03-17 18:01:03
344,12,Haryana,628429,508020,120409,2021-03-17 18:01:03
345,13,Himachal Pradesh,236637,164397,72240,2021-03-17 18:01:03
346,14,Jammu and Kashmir,424963,343444,81519,2021-03-17 18:01:03
347,15,Jharkhand,571951,391049,180902,2021-03-17 18:01:03
348,16,Karnataka,1654224,1290218,364006,2021-03-17 18:01:03
349,17,Kerala,1696771,1377915,318856,2021-03-17 18:01:03
350,18,Ladakh,36468,32797,3671,2021-03-17 18:01:03
351,19,Lakshadweep,3424,2289,1135,2021-03-17 18:01:03
352,20,Madhya Pradesh,1499886,1088366,411520,2021-03-17 18:01:03
353,21,Maharashtra,3236294,2736844,499450,2021-03-17 18:01:03
354,22,Manipur,73462,58713,14749,2021-03-17 18:01:03
355,23,Meghalaya,64495,48584,15911,2021-03-17 18:01:03
356,24,Mizoram,50789,39977,10812,2021-03-17 18:01:03
357,25,Nagaland,43689,30908,12781,2021-03-17 18:01:03
358,26,Odisha,1076385,772365,304020,2021-03-17 18:01:03
359,27,Puducherry,32265,27790,4475,2021-03-17 18:01:03
360,28,Punjab,391583,316328,75255,2021-03-17 18:01:03
361,29,Rajasthan,3064353,2489908,574445,2021-03-17 18:01:03
362,30,Sikkim,45807,37300,8507,2021-03-17 18:01:03
363,31,Tamil Nadu,1427530,1275868,151662,2021-03-17 18:01:03
364,32,Telangana,630339,414567,215772,2021-03-17 18:01:03
365,33,Tripura,170598,112464,58134,2021-03-17 18:01:03
366,34,Uttar Pradesh,2725075,1984162,740913,2021-03-17 18:01:03
367,35,Uttarakhand,358484,256613,101871,2021-03-17 18:01:03
368,36,West Bengal,2694755,2261131,433624,2021-03-17 18:01:03
369,37,Daman and Diu,8435,7046,1389,2021-03-17 18:01:03
370,1,Andaman and Nicobar Islands,13189,10007,3182,2021-03-18 18:00:06
371,2,Andhra Pradesh,1205961,928351,277610,2021-03-18 18:00:06
372,3,Arunachal Pradesh,53355,38624,14731,2021-03-18 18:00:06
373,4,Assam,541484,443358,98126,2021-03-18 18:00:06
374,5,Bihar,1378580,1033329,345251,2021-03-18 18:00:06
375,6,Chandigarh,52173,44311,7862,2021-03-18 18:00:06
376,7,Chhattisgarh,1003806,757694,246112,2021-03-18 18:00:06
377,8,Dadra and Nagar Haveli,9204,6576,2628,2021-03-18 18:00:06
378,9,Delhi,777230,610611,166619,2021-03-18 18:00:06
379,10,Goa,75176,61906,13270,2021-03-18 18:00:06
380,11,Gujarat,2493705,1904676,589029,2021-03-18 18:00:06
381,12,Haryana,685703,561730,123973,2021-03-18 18:00:06
382,13,Himachal Pradesh,250094,175686,74408,2021-03-18 18:00:06
383,14,Jammu and Kashmir,460588,367225,93363,2021-03-18 18:00:06
384,15,Jharkhand,602323,412463,189860,2021-03-18 18:00:06
385,16,Karnataka,1763431,1391043,372388,2021-03-18 18:00:06
386,17,Kerala,1845882,1512684,333198,2021-03-18 18:00:06
387,18,Ladakh,38105,33885,4220,2021-03-18 18:00:06
388,19,Lakshadweep,3633,2346,1287,2021-03-18 18:00:06
389,20,Madhya Pradesh,1650814,1219073,431741,2021-03-18 18:00:06
390,21,Maharashtra,3438852,2914117,524735,2021-03-18 18:00:06
391,22,Manipur,75295,59248,16047,2021-03-18 18:00:06
392,23,Meghalaya,68461,50331,18130,2021-03-18 18:00:06
393,24,Mizoram,51633,40344,11289,2021-03-18 18:00:06
394,25,Nagaland,45739,31982,13757,2021-03-18 18:00:06
395,26,Odisha,1164753,854306,310447,2021-03-18 18:00:06
396,27,Puducherry,35013,30195,4818,2021-03-18 18:00:06
397,28,Punjab,420501,342134,78367,2021-03-18 18:00:06
398,29,Rajasthan,3168302,2576239,592063,2021-03-18 18:00:06
399,30,Sikkim,48047,39029,9018,2021-03-18 18:00:06
400,31,Tamil Nadu,1535330,1373644,161686,2021-03-18 18:00:06
401,32,Telangana,662501,445397,217104,2021-03-18 18:00:06
402,33,Tripura,191196,129948,61248,2021-03-18 18:00:06
403,34,Uttar Pradesh,3101179,2257323,843856,2021-03-18 18:00:06
404,35,Uttarakhand,388781,282182,106599,2021-03-18 18:00:06
405,36,West Bengal,2831476,2380076,451400,2021-03-18 18:00:06
406,37,Daman and Diu,8722,7233,1489,2021-03-18 18:00:06
407,1,Andaman and Nicobar Islands,13678,10359,3319,2021-03-19 18:01:02
408,2,Andhra Pradesh,1299814,1011645,288169,2021-03-19 18:01:02
409,3,Arunachal Pradesh,55874,40318,15556,2021-03-19 18:01:02
410,4,Assam,561014,457424,103590,2021-03-19 18:01:02
411,5,Bihar,1449563,1094690,354873,2021-03-19 18:01:02
412,6,Chandigarh,54240,45977,8263,2021-03-19 18:01:02
413,7,Chhattisgarh,1069004,812104,256900,2021-03-19 18:01:02
